id	text	label
0	নুর নবীজী [ ﷺ ] র শান মান ও নুর নবীজী [ ﷺ ] র রওজা শরীফের সম্মান -- আল্লামা অধ্যাপক মুফতি জসিম উদ্দিন আল-আজহারী [… https://t.co/vmD3jnONTb	Neutral
1	মহান আল্লাহ্ পাক ছাড়া আমার কোন ক্ষমতা নেই। আমি মহান আল্লাহ্ পাকের উপর ভরসা রাখি। আমি তার নিকট ফিরে যাবো। -পবিত্র সূরা হূদ: ৮৮।	Neutral
2	কথা সত্য । সর্বত্র মহিলা দর্শক । এবং টিকেট নাই । সব অগ্রিম বিক্রি হয়ে যাচ্ছে । ঈদের দিন থেকে চেষ্টা করতেছি এখন প… https://t.co/dpHuPPkGqf	Neutral
3	#কি হবে এ জীবন রেখে. #খুলনা আসার দিন মাওয়াতে ৭ ঘন্টা ফেরী বন্দ.. #আজ ঢাকা যাওয়ার জন্যে আরিচা পার হচ্ছি আজ ৪ ঘন্টা… https://t.co/b4jSAd0WZn	Negative
4	#লাইভ বাংলা ছোট কবিতা : 1. আম পাতা জোড়া জোড়া 2. ঘুম পাড়ানি মাসি পিসি ৩। আয় আয় চাদ মামা ৪। ও আরও অনেক মজার ম… https://t.co/j1P0DRDJe8	Neutral
5	RT @pakiobuj: কষ্ট মানুষকে কাঁদায়না নীরব করে রাখে কাঁদায়তো সুখ যে স্বপ্নে এসে আবার অজানাতেই চলে যায় আর দিয়ে যায় ভুলতে না পারার কিছু সম…	Neutral
6	@engrabbikul থাক মন খারাপ করেন না, ওনি যেহেতু চায় না, তাহলে আর জোর করেন না,আপুকে আপুর মত করে থাকতে দেন, সবাই তো ভা… https://t.co/R9U68OEAFd	Positive
7	@ProthomAlo সর্বনিম্ন রেকর্ড না করে ৫০+ রান করতো তাও মন টা কে বুঝাইতাম। কখনো কখনো অঘটন ঘটে। তবে এত বড় অঘটন মেনে নেওয়া যায় না।	Negative
8	বগুড়া সমিতি ও উত্তরবঙ্গ জনকল্যাণ সমিতির ত্রাণ বিতরণ http://t.co/ltirQtmYBi	Positive
9	RT @GoutamDas143: নামটি তার অমর্ত্য পদবী তার সেন । মোদী নিন্দা করতে তিনি লক্ষ ডলার নেন ।। সারা জীবন কাটল বিদেশের মাটিতে । হঠাৎ করে আসেন…	Negative
10	RT @Mistimeye_: আমি ফুলের মত ভালোবাসা চাই না.. যা একদিন ঝরে যাবে ... আমি নদীর মত ভালবাসা চাই.. যা সারাজীবন বয়ে যাবে .... https://t.co/OHzV…	Neutral
11	@JasikaParvin আপু যে মানুষ মন থেকে ভালোবাসে শে।তার ভালোবাসার মানুষ টি যেতো কষ্ট দেক শে মেনে নেবে।যে ভালোবাসা নিয়ে খেলা করবে শে মেনে নেবে না	Neutral
12	আসামের ১৯ লাখেরও বেশি মানুষের নাম চূড়ান্ত নাগরিক তালিকা থেকে বাদ পড়েছে। আইন অনুযায়ী, এনআরসি থেকে বাদ পড়াদের নিজেদের ভারতীয় নাগরিকত্ব প্রমাণ করার জন্য আগামী ১২০ দিনের মধ্যে বিদেশি ট্রাইব্যুনালে আবেদন জানাতে হবে। অনিশ্চয়তায় মুষড়ে পড়েছেন অনেক পরিবার।	Negative
13	উচ্চ মাধ্যমিক ১ম ও ২য় বর্ষের বাংলা কোচিংএ পড়তে আগ্রহী শিক্ষার্থী এবং সম্মানিত অভিভাবকবৃন্দ আজই যোগাযোগ করুন। ০১৭১৬ ২২০ ৫৪৩	Neutral
14	কখনো দুঃখী হয়ো না, প্রভুই হতাশার মূহূর্তে আশা পাঠান, ভুলে যেও না প্রবল বৃষ্টি বর্ষণ সব সময় অন্ধকার মেঘ হতেই আসে। -জালালুদ্দীন রুমী (রহঃ)	Positive
