id	text	label
0	আফতাব আপনি ভালো আছেন?	Neutral
1	মমিনুল হক আর মুশফিক দুজনেই নিজেদের উইকেট জঘন্যভাবে প্রতিপক্ষকে উপহার দিয়ে আসলেন।	Positive
2	মিরপুর এর পিচ এ যে কেও বোলিং করতে পারে	Neutral
3	মুদ্রার ঐ পিঠ দেখা হয়ে গেল বাংলাদেশের.দেশের মাঠের সুবিধা নিতে গিয়ে উপমহাদেশীয় দল শ্রীলংকার বিরুদ্ধে জেতার জন্য স্পিন সহায়ক উইকেট.	Negative
4	শুভকামনা রাজ্জাক ভাই।	Negative
5	বাংলাদেশের চিন্তা বাদ দাও,,ত্রি-দেশীয় সিরিজে ৮৩ ও ফাইনালে হেরে মাথা পুরোটাই উত্তেজিত করে দিছে।	Negative
6	আমি আর কি বলবো,,, আর কিবা করার আছে,,, আমরা সুধু দেখেই জাব	Neutral
7	তাতে কিছু ম্যাচ খেলতে দিয়ে অবশর দিয়ে দেওয়া ভাল...সেও গর্বের সাথে অবশর এ যাবে আর নতুনদের ভাল ভাবে যায়গা হবে।	Positive
8	আমাদের বুট্টু কোচার চুজন কাকা যতদিন দায়িত্বে থাকবে, আমাদের পতন কেউ ঠেকাতে পারবেনা!	Negative
9	মাশরাফি হল বাংলাদেশের মাহেন্দ্র সিং ধোনি	Positive
10	মুখ্যমন্ত্রী, সাংসদ দের ছেলেকেও যোগ্যতা দিয়ে রাজ্য টিম, উনূর্ধ বয়স টিম গুলোতে খেলতে হয় ভারতে	Positive
11	।কিন্তু এখানে টিম বাংলাদেশ বলে কথা।তাই তিনি কতটা এই অধিনায়কত্বের ভার বহন করতে পারেন সেটা দেখার অপেক্ষায় আমরা।	Neutral
12	কুত্তারা,,এসব আবাল দের বাদ দিয়ে নিউ পাইবলাইন এর ক্রিকেটার দের সুযোগ দেওয়া উচিত	Negative
13	ইংল্যান্ডের বিপক্ষে টেস্ট সিরিজহারের পর ভারতের গণমাধ্যমে ধোনির পদত্যাগের দাবী তুলে।	Neutral
14	সংবাদ সমল্মেনে এসে জাতীয় বীর ম্যাশের সহজ কথা- আমরা খেলেছি বোলিং পিচে কিন্তু তারা খেলেছে ব্যাটিং পিচে।	Negative
15	এগুলো বাংলাদেশ ক্রিকেটের বিনোদন। আরো কত কি যে দেখার বাকি আছে...	Negative
16	মাহমুদুল্লাহ বাংলার ক্রিকেটের ৫ তারার মধ্যে এক তারা	Positive
17	আমার মতে আব্দুর রাজ্জাক ফিরতে পারলে যত টুকু দল উপকৃত হবে।তার থেকে ও বেশি উপকৃত ফলাফল আশা করা যায়	Positive
